trade,datetime_utc,symbol,buy_exchange,sell_exchange,buy_price,sell_price,qty,latency_cost,gross_pnl,net_pnl,cumulative_pnl
56,2026-02-03 18:02:00,ETH/USDT,C2C2,C2C1,2202.010742,2203.666748,24.02523613,21.1695,-2.5530,-10.1741,28922.3867
57,2026-02-03 19:12:00,ETH/USDT,C2C1,C2C2,2155.758301,2164.114258,24.54023170,21.2021,162.6528,155.0201,29077.4062
58,2026-02-03 20:32:00,BTC/USDT,C2C1,C2C2,76206.007812,76246.601562,0.69441128,21.1730,-14.1572,-21.7794,29055.6270
59,2026-02-03 20:47:00,BTC/USDT,C2C2,C2C1,76503.125000,76614.953125,0.69168580,21.1819,34.9861,27.3606,29082.9883
60,2026-02-03 20:47:00,ETH/USDT,C2C2,C2C1,2303.451660,2312.500244,22.97372437,21.2091,165.4614,157.8261,29240.8145
61,2026-02-04 14:37:00,ETH/USDT,C2C1,C2C2,2212.628174,2215.858154,23.92387962,21.1893,34.8950,27.2669,29268.0820
62,2026-02-04 15:27:00,ETH/USDT,C2C2,C2C1,2182.326904,2185.908936,24.25730896,21.1923,44.5058,36.8765,29304.9590
63,2026-02-05 16:26:00,BTC/USDT,C2C2,C2C1,68040.007812,68137.304688,0.77808732,21.1916,33.3223,25.6934,29330.6523
64,2026-02-05 20:17:00,BTC/USDT,C2C2,C2C1,64318.601562,64425.968750,0.82314652,21.1951,45.9887,38.3584,29369.0117
65,2026-02-05 20:31:00,BTC/USDT,C2C2,C2C1,63752.605469,63841.289062,0.83051461,21.1937,31.2656,23.6358,29392.6484
66,2026-02-06 00:11:00,ETH/USDT,C2C2,C2C1,1807.424561,1816.327881,29.29573631,21.2321,218.3651,210.7216,29603.3691
67,2026-02-06 00:50:00,BTC/USDT,C2C1,C2C2,62747.113281,62847.484375,0.84419686,21.2053,42.3223,34.6884,29638.0566
68,2026-02-06 00:50:00,ETH/USDT,C2C1,C2C2,1859.971313,1862.455566,28.48129082,21.2039,28.3469,20.7135,29658.7695
69,2026-02-07 07:18:00,BTC/USDT,C2C2,C2C1,67399.851562,67590.835938,0.78600258,21.2206,107.6730,100.0336,29758.8027
70,2026-02-10 14:42:00,BTC/USDT,C2C2,C2C1,68099.242188,68164.171875,0.77807719,21.2047,8.1109,0.4772,29759.2793
71,2026-02-12 16:32:00,BTC/USDT,C2C2,C2C1,66002.578125,66101.414062,0.80279464,21.2105,36.9240,29.2882,29788.5684
72,2026-02-17 14:40:00,BTC/USDT,C2C1,C2C2,67524.257812,67563.382812,0.78474689,21.2019,-11.7006,-19.3333,29769.2344
